,id,name,description
0,c76a2922-ba4c-4278-baab-44defb631236,Aberto,Opens locked doors
1,06485500-d023-4799-93fd-77f2c3341aa3,Accio,Summons objects
2,acbc0ae1-12e1-4813-b51e-09d22de40475,Aguamenti,Summons water
3,c9d2f389-a419-4f7e-8d3d-254959638019,Alohomora,Unlocks objects
4,018429a5-15d5-41af-bf8f-98a966733d77,Anapneo,Clears someone's airway
5,c828685c-52d2-466d-bcc6-fbcd8376cfb5,Aparecium,Reveals secret written messages
6,7fdd393c-2608-4ef3-9fd0-f691ad6f8b88,Apparate,A non-verbal transportation spell that allows a witch or wizard to instantly travel on the spot and appear at another location (disapparate is the opposite)
7,73886d47-2808-4861-ae40-956f4cb56272,Ascendio,Propells someone into the air
8,9a6b6854-8858-4b21-b761-12526a154597,Avada Kedavra,"Also known as The Killing Curse, the most evil spell in the Wizarding World; one of three Unforgivable Curses; Harry Potter is the only known witch or wizard to survive it"
9,b6f20bba-c0db-4ad2-8ac6-2a375a596287,Avis,Conjures a small flock of birds
10,48edfe4d-ddfc-49ac-8065-bd7e73c73778,Bat,Bogey Hex - Turns the target's boogers into bats
11,6bd8d5c1-9375-4b70-8d6e-ad019176c7a2,Bombardo,Creates an explosion
12,8fc19d10-3130-4b85-95c1-f2a51ba5ee3c,Brackium Emendo,Heals broken bones
13,f08c17fa-7bf9-49bf-9fba-a7806815bc80,Capacious Extremis,"Known as the Extension Charm, it's a complicated spell that can greatly expand or extend the capacity of an object or space without affecting it externally"
14,55dec867-ac07-4975-94c7-090f6fd25c86,Confundo,"Known as the Confundus Charm, it causes confusion of the target"
15,816d9fee-b78f-47b4-be46-b48626c013f9,Conjunctivitis Curse,Affects the eyes and sight of a target
16,58b8727a-6c0c-469c-b91d-8ac0cc0dd2d8,Crinus Muto,Changes hair color and style
17,f1e91049-e866-4f6f-9d87-d6fd366aecbf,Crucio,"One of three Unforgivable Curses, it causes unbearable pain in the target"
18,7324e645-8f41-4c83-a367-0d10a72906ff,Diffindo,Used to precisely cut an object
19,638072b9-b7ac-405d-914b-d9293c5f9d25,Disillusionment Charm,Causes the target to take on the appearance of its surroundings
20,b7643e32-ef9c-41b8-83f2-03f6b5015e04,Disapparate,A non-verbal transportation spell that allows a witch or wizard to instantly travel on the spot and leave for another location (apparate is the opposite)
21,20476c31-4f27-49ac-876f-a4c4028f1b5b,Engorgio,Causes rapid growth in the targeted object
22,ecb9a882-d6d7-495e-9958-a1a06902bb65,Episkey,Heals minor injuries
23,317ff981-ad65-421e-92fb-5f6647d95232,Expecto patronum,"The Patronus Charm is a powerful projection of hope and happiness that drives away Dementors; a corpeal Patronus takes the the respective animal form of the caster, while a non-corpeal appears as a wisp of light; at 13, Harry Potter was the youngest known witch or wizard to prouduce a corpeal Patronus"
24,60149246-91cf-44a5-8885-78a7acc4bf90,Erecto,"Allows a witch or wizard to build a structure, like a tent"
25,6d8138c3-0773-4c23-b0bf-aab0e5c6fd95,Evanesco,Vanishes objects
26,678474e6-fb30-4bf0-a18c-228f6b36592d,Expelliarmus,Forces an opponent to drop whatever's in their possession
27,31b38b6c-4775-4e20-815d-dbf302433de6,Ferula,A healing charm that conjures wraps and bandages for wounds
28,37d262c9-28ab-408f-9576-acf54ce50203,Fidelius Charm,"A complex charm that conceals a secret into the soul of a chosen ""Secret Keeper"". If a location is the subject of concealment, it becomes undetectable to others"
29,9121b557-0ebf-4b60-a119-9d1c5ff05dee,Fiendfyre Curse,"Conjures destructive, enormous enchanted flames"
30,de23025f-5e6a-4ec3-b827-5c526a922a89,Finite Incantatem,A general counter-spell that's used to reverse or counter already cast charms
31,d536cbe5-bc0f-49e5-b063-e02c231a3988,Furnunculus Curse,A jinx that causes a breakout of boils or pimples
32,7915b07a-d26e-4057-9083-e457643e57a6,Geminio,Duplicates objects
33,2a942514-7a19-4f0e-9353-171c573abcba,Glisseo,Transforms a staircase into a slide
34,a42028b6-67f5-463b-b759-452103533227,Homenum Revelio,Reveals the presence of another person
35,552cd4ee-2c67-48fd-ae20-a83773262a8a,Homonculus Charm,Detects anyone's true identity and location on a piece of parchment; used to create the Marauder's Map
36,2dfca7d2-ec9b-4150-b3f3-fd972a5fd1bc,Immobulus,Immobilises living targets
37,a49300cc-ddbf-4ff4-b8c2-e8bddbbe4118,Impedimenta,A temporary jinx that slows the movement of the target
38,e5c22d31-26f1-4c88-a586-d9c09cb88c1f,Incarcerous,Conjures ropes
39,a53ad5be-00ee-4254-b3c0-4cec60b0c034,Imperio,"One of the three Unforgivable Curses, it places the target under the complete control of the caster"
40,a3b34bf6-1ff7-4fe3-81ee-e617150f5da9,Impervius,Makes an object waterproof
41,de048df0-b227-4376-a29b-90fe6878d950,Incendio,Conjures flames
42,c4a4520b-b80d-49e8-9e5a-3ca0a7f376ca,Langlock,Causes the target's tongue to stick to the roof of their mouth
43,0da7cb76-dabc-46ff-b8e9-c23a4f03caea,Legilimens,Invading or navigating another's mind
44,723dd9c9-ee62-495b-9071-cddd16087b86,Levicorpus,Levitates the target by their ankle
45,8add16ef-b4b1-4e2b-a91e-80aa194da438,Locomotor Mortis,The Leg-Locker curse bounds the target's legs
46,3b7a10ce-3339-4a36-9493-292c8775e47b,Lumos,Illuminates the caster's wand
47,832edaca-dbff-4a57-80c7-1d8a827c8416,Morsmordre,Conjures and projects Lord Voldemort's Dark Mark
48,7f4b43e0-3356-43f9-9299-15ec37cfaf76,Mucus Ad Nauseam,Inflicts an extreme runny nose or cold
49,f86bbf7e-94ea-4c22-89fb-809af8214a85,Muffliato,Creates a buzzing sound in the target's ears to prevent eavesdropping
50,66be613d-532c-46d8-a3e9-f5a2d9cccf0c,Nox,"Reverses the lumos charm, extinguishing a wand's light"
51,9e3c0217-652a-4763-82f8-5519026a1ea6,Obliviate,Erases the target's memory
52,0af49753-c8ae-4748-87a7-b7cfc47d33a0,Obscuro,Conjures a blindfold
53,67e838c1-4623-414e-9a91-12125631dbad,Oculus Reparo,Repairs eyeglasses
54,12251f32-af9d-408f-a652-3a4cc9602bc0,Oppugno,Directs an object or person to attack a victim
55,da9eab7b-2c7c-42de-861c-fb254bd9423c,Petrificus Totalus,Temporarily freezes or petrifies the body of the target
56,3e5fd245-2ecf-40c4-937d-b2c2f9eee003,Periculum,Conjures flares/red sparks
